CODE,DESC,TYPE,VALUE,POS,BRANCH
49,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
53,IIEE 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
54,8% NAGA PICE,SUBTOTAL PERCENT,8.000,1,IRIGA
55,8% IIEE CAMSUR,SUBTOTAL PERCENT,8.000,1,IRIGA
56,NAGA PICE 1000MAX DI,SUBTOTAL AMOUNT,1000.000,1,IRIGA
58,5% SOLO PARENT,SUBTOTAL PERCENT,5.000,1,IRIGA
59,20% NATL ATHLETE,SUBTOTAL PERCENT,20.000,1,IRIGA
60,PRIDE P20 OFF,ITEM AMOUNT,20.000,1,IRIGA
61,8% IMAP R5,SUBTOTAL PERCENT,8.000,1,IRIGA
62,8% STJOSEPH,SUBTOTAL PERCENT,8.000,1,IRIGA
63,1000MAX IMAP,SUBTOTAL AMOUNT,1000.000,1,IRIGA
64,1000MAX STJOSEPH,SUBTOTAL AMOUNT,1000.000,1,IRIGA
65,8% PAMET CAMSUR,SUBTOTAL PERCENT,8.000,1,IRIGA
66,1000MAX PAMET CS,SUBTOTAL AMOUNT,1000.000,1,IRIGA
67,8% ADNUGAA,SUBTOTAL PERCENT,8.000,1,IRIGA
68,1000MAX ADNUGAA,SUBTOTAL AMOUNT,1000.000,1,IRIGA
69,8% RAYA CRS,SUBTOTAL PERCENT,8.000,1,IRIGA
70,8% 3RDY CRS,SUBTOTAL PERCENT,8.000,1,IRIGA
71,8% PILI TTSC,SUBTOTAL PERCENT,8.000,1,IRIGA
72,8% NATL PH EAGLES,SUBTOTAL PERCENT,8.000,1,IRIGA
73,1OOOMAX NATLEAGLES,SUBTOTAL AMOUNT,1000.000,1,IRIGA
74,8% ENVP CAM SUR,SUBTOTAL PERCENT,8.000,1,IRIGA
75,8% CSNHS ALUMNI,SUBTOTAL PERCENT,8.000,1,IRIGA
76,1000MAX ENVP CAM SUR,SUBTOTAL AMOUNT,1000.000,1,IRIGA
77,1000MAX CSNHS ALUMNI,SUBTOTAL AMOUNT,1000.000,1,IRIGA
78,8% JDP RENTAL,SUBTOTAL PERCENT,8.000,1,IRIGA
79,8% SHUKRAN TRANS,SUBTOTAL PERCENT,8.000,1,IRIGA
80,8% NATL REBAP,SUBTOTAL PERCENT,8.000,1,IRIGA
81,1000MAX NATLREBAP,SUBTOTAL AMOUNT,1000.000,1,IRIGA
82,8% DEPED NEU RS,SUBTOTAL PERCENT,8.000,1,IRIGA
83,1000MAX DEPED NEU RS,SUBTOTAL AMOUNT,1000.000,1,IRIGA
84,8% NAPSAA,SUBTOTAL PERCENT,8.000,1,IRIGA
85,1000MAX NAPSAA,SUBTOTAL AMOUNT,1000.000,1,IRIGA
86,8% CEBU PACIFIC DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
87,8% 3DEKALIBRE DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
88,8% NCPO & NUP DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
89,8% RCBC DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
90,8% HRMS DISC,SUBTOTAL PERCENT,8.000,1,IRIGA
91,8% CACERES CLERGY DI,SUBTOTAL PERCENT,8.000,1,IRIGA
92,1000MAX CEBU PAC DIS,SUBTOTAL AMOUNT,1000.000,1,IRIGA
93,1000MAX 3DEKALIBRE D,SUBTOTAL AMOUNT,1000.000,1,IRIGA
94,1000MAX NCPO & NUP D,SUBTOTAL AMOUNT,1000.000,1,IRIGA
95,1000MAX RCBC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
96,1000MAX HRMS DISC,SUBTOTAL AMOUNT,1000.000,1,IRIGA
97,1000MAX CACERES CLER,SUBTOTAL AMOUNT,1000.000,1,IRIGA
98,8% Cam Norte Police,SUBTOTAL PERCENT,8.000,1,IRIGA
