INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
DEL60,SLICED CHESE,SLICED CHESE,18,15.000,PC,12.000,1.290,9.333333,1,IRIGA
DEL61,PEPSI GLASS,PEPSI GLASS,18,79.000,PC,12.000,6.320,9.333333,1,IRIGA
DEL62,BREWED FLOWING,BREWED FLOWING,18,55.000,PC,12.000,5.890,9.333333,1,IRIGA
DEL63,PSYCHOCOLATE CAKE,PSYCHOCOLATE C,18,189.000,PC,12.000,15.960,9.333333,1,IRIGA
DEL64,CARROT CAKE,CARROT CAKE,18,189.000,PC,12.000,17.040,9.333333,1,IRIGA
DEL65,BERRIES CHES CAKE,BERRIES CHES C,18,189.000,PC,12.000,15.960,9.333333,1,IRIGA
DEL66,BIGG PAIR 1,BIGGPAIR1,18,1073.000,PC,12.000,9.540,9.330000,1,IRIGA
DEL67,BIGG PAIR 2,BIGGPAIR 2,18,694.000,PC,12.000,9.540,9.330000,1,IRIGA
DEL68,BIGG PAIR 3,BIGGPAIR 3,18,1053.000,PC,12.000,9.540,9.330000,1,IRIGA
DEL69,BIGG PAIR 4,BIGGPAIR4,18,912.000,PC,12.000,9.540,9.330000,1,IRIGA
DEL70,SPAGHETTI,SPAGHETTI,18,169.000,PC,12.000,8.460,9.333333,1,IRIGA
DEL71,CARBONARA,CARBONARA,18,184.000,PC,12.000,11.680,9.333333,1,IRIGA
DEL72,SPAG W P.BREAD,SPAG W P.BREAD,18,189.000,PC,12.000,12.750,9.333333,1,IRIGA
DEL73,CARBO W P.BREAD,CARBO W P.BREA,18,214.000,PC,12.000,14.890,9.333333,1,IRIGA
DEL74,THOUSAND ISLAND DRES,THOUSAND ISLAN,18,0.000,PC,12.000,0.000,9.333333,1,IRIGA
DEL75,SOUTHWEST SALAD,SOUTHWEST SALA,18,229.000,PC,12.000,15.960,9.333333,1,IRIGA
DEL76,ROASTED SESAME,ROASTED SESAME,18,29.000,PC,12.000,0.000,9.333333,1,IRIGA
DEL77,NENAS HARVEST,NENAS HARVEST,18,229.000,PC,12.000,15.960,9.333333,1,IRIGA
DEL78,MAC SALAD,MAC SALAD,18,162.000,PC,12.000,10.610,9.333333,1,IRIGA
DEL80,THOUSAND ISLAND16,THOUSAND ISLAN,18,16.000,PC,12.000,1.710,9.333333,1,IRIGA
DEL81,HOTDOG,HOTDOG,18,50.000,PC,12.000,4.290,9.333333,1,IRIGA
DEL83,COOKIES N CREAM,COOKIES N CREA,18,179.000,PC,12.000,10.610,9.333333,1,IRIGA
DEL82,RMS,RMS,18,179.000,PC,12.000,10.610,9.330000,1,IRIGA
DEL84,FREE GRAVY,FREE GRAVY,18,0.000,PC,12.000,10.610,9.330000,1,IRIGA
DEL85,LARGE GRAVY,LARGE GRAVY,18,20.000,PC,12.000,10.610,9.330000,1,IRIGA
DEL86,ATCHARA TO GRAVY,CHARA TO GRAVY,18,0.000,PC,12.000,10.610,9.330000,1,IRIGA
DEL87,BANANA PEANUT,BANANA PEANUT,18,99.000,PC,12.000,10.610,9.333333,1,IRIGA
DEL88,TP-VEGETABLE MED,TP-VEGETABLE M,18,59.000,PC,12.000,4.820,9.333333,1,IRIGA
DEL89,TP-ORIENTAL SALAD,TP-ORIENTAL SA,18,59.000,PC,12.000,5.250,9.333333,1,IRIGA
DEL90,TP-MASH POTATO,TP-MASH POTATO,18,59.000,PC,12.000,4.820,9.333333,1,IRIGA
DEL91,TP-MAC SALAD,TP-MAC SALAD,18,59.000,PC,12.000,5.250,9.333333,1,IRIGA
DEL92,TP-COLESLAW,TP-COLESLAW,18,59.000,PC,12.000,5.250,9.333333,1,IRIGA
DEL93,TP-KIMCHI,TP-KIMCHI,18,59.000,PC,12.000,5.250,9.333333,1,IRIGA
DEL94,LOADED BACON POTA,LOADED BACON P,18,55.000,PC,12.000,5.890,9.333333,1,IRIGA
DEL95,CRAB N CORN,CRAB N CORN,18,69.000,PC,12.000,5.890,9.333333,1,IRIGA
