CODE,DESC,TYPE,VALUE,POS,BRANCH
40,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,GOA
41,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,GOA
42,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,GOA
43,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,GOA
44,ROTARY NAGA 1000MAX,SUBTOTAL AMOUNT,1000.000,1,GOA
45,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,GOA
46,8% PICE DISC,SUBTOTAL PERCENT,8.000,1,GOA
47,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,GOA
48,PICE 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,GOA
49,UN ARCHI 1000 MAX DI,SUBTOTAL AMOUNT,1000.000,1,GOA
50,8% ROTARY OF IRIGA,SUBTOTAL PERCENT,8.000,1,GOA
51,OFW PC 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,GOA
52,ROTARYOFIRIGA1000MAX,SUBTOTAL AMOUNT,1000.000,1,GOA
53,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,GOA
54,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,GOA
55,8% ENVP CamSur,SUBTOTAL PERCENT,8.000,1,GOA
56,8% CSNHS Alumni,SUBTOTAL PERCENT,8.000,1,GOA
57,1000MAX ENVP CamSur,SUBTOTAL AMOUNT,1000.000,1,GOA
58,1000MAX CSNHS Alumni,SUBTOTAL AMOUNT,1000.000,1,GOA
59,PRIME CARD 10%,SUBTOTAL PERCENT,10.000,1,GOA
60,5% SOLO PARENT,SUBTOTAL PERCENT,5.000,1,GOA
61,20% NATL ATHLETE,SUBTOTAL PERCENT,20.000,1,GOA
62,PRIDE P20 OFF,ITEM AMOUNT,20.000,1,GOA
63,8% OFW,SUBTOTAL PERCENT,8.000,1,GOA
64,8% IMAP R5,SUBTOTAL PERCENT,8.000,1,GOA
65,8% STJOSEPH,SUBTOTAL PERCENT,8.000,1,GOA
66,8% NATL PH EAGLES,SUBTOTAL PERCENT,8.000,1,GOA
67,1000MAX IMAP,SUBTOTAL AMOUNT,1000.000,1,GOA
68,1000MAX STJOSEPH,SUBTOTAL AMOUNT,1000.000,1,GOA
69,1000MAX NATLEAGLES,SUBTOTAL AMOUNT,1000.000,1,GOA
70,8% PAMET CAMSUR,SUBTOTAL PERCENT,8.000,1,GOA
71,1000MAX PAMET CS,SUBTOTAL AMOUNT,1000.000,1,GOA
72,9% GOANNIV,SUBTOTAL PERCENT,9.000,1,GOA
73,8% ADNUGAA,SUBTOTAL PERCENT,8.000,1,GOA
74,1000MAX ADNUGAA,SUBTOTAL AMOUNT,1000.000,1,GOA
75,8% RAYA CRS,SUBTOTAL PERCENT,8.000,1,GOA
76,8% 3RDY CRS,SUBTOTAL PERCENT,8.000,1,GOA
77,8% PILI TTSC,SUBTOTAL PERCENT,8.000,1,GOA
78,8% JDP RENTAL,SUBTOTAL PERCENT,8.000,1,GOA
79,8% SHUKRAN TRANS,SUBTOTAL PERCENT,8.000,1,GOA
80,8% NATL REBAP,SUBTOTAL PERCENT,8.000,1,GOA
81,1000MAX NATREBAP,SUBTOTAL AMOUNT,1000.000,1,GOA
82,8% DEPED NEU R5,SUBTOTAL PERCENT,8.000,1,GOA
83,1000MAX DEPED NEU R5,SUBTOTAL AMOUNT,1000.000,1,GOA
84,8% NAPSAA,SUBTOTAL PERCENT,8.000,1,GOA
85,1000MAX NAPSAA,SUBTOTAL AMOUNT,1000.000,1,GOA
86,8% CEBU PACIFIC DISC,SUBTOTAL PERCENT,8.000,1,GOA
87,8% 3DEKALIBRE DISC,SUBTOTAL PERCENT,8.000,1,GOA
88,8% NCPO & NUP DISC,SUBTOTAL PERCENT,8.000,1,GOA
89,8% RCBC DISC,SUBTOTAL PERCENT,8.000,1,GOA
90,8% HRMS DISC,SUBTOTAL PERCENT,8.000,1,GOA
91,8% CACERES CLERGY DI,SUBTOTAL PERCENT,8.000,1,GOA
92,1000MAX CEBU PAC DIS,SUBTOTAL AMOUNT,1000.000,1,GOA
93,1000MAX 3DEKALIBRE D,SUBTOTAL AMOUNT,1000.000,1,GOA
94,1000MAX NCPO & NUP D,SUBTOTAL AMOUNT,1000.000,1,GOA
95,1000MAX RCBC,SUBTOTAL AMOUNT,1000.000,1,GOA
96,1000MAX HRMS DISC,SUBTOTAL AMOUNT,1000.000,1,GOA
97,1000MAXCACERES CLRGY,SUBTOTAL AMOUNT,1000.000,1,GOA
98,8% Cam Norte Police,SUBTOTAL PERCENT,8.000,1,GOA
99,8% Cam Norte Capitol,SUBTOTAL PERCENT,8.000,1,GOA
100,8% LGU Talisay,SUBTOTAL PERCENT,8.000,1,GOA
101,1000MAX CNPPO,SUBTOTAL AMOUNT,1000.000,1,GOA
102,1000MAX CNC,SUBTOTAL AMOUNT,1000.000,1,GOA
103,1000MAX LGU Talisay,SUBTOTAL AMOUNT,1000.000,1,GOA
104,8% BICOL ENT,SUBTOTAL PERCENT,8.000,1,GOA
105,8% CNSC,SUBTOTAL PERCENT,8.000,1,GOA
106,8% DEPED BICOL,SUBTOTAL PERCENT,8.000,1,GOA
107,8% PCG BICOL,SUBTOTAL PERCENT,8.000,1,GOA
108,1000MAX PCG BICOL,SUBTOTAL AMOUNT,1000.000,1,GOA
109,1000MAX DEPED BICOL,SUBTOTAL AMOUNT,1000.000,1,GOA
110,1000MAX CNSC,SUBTOTAL AMOUNT,1000.000,1,GOA
111,1000MAX BICOL ENT,SUBTOTAL AMOUNT,1000.000,1,GOA
112,FREE PJ LSM,ITEM PERCENT,100.000,1,GOA
DC13,100% OFF BDAY DISC,SUBTOTAL PERCENT,100.000,1,GOA
DC14,100% VDAY DISCOUNT,SUBTOTAL PERCENT,100.000,1,GOA
DC15,P84 OFF SPAG PJ,SUBTOTAL AMOUNT,84.000,1,GOA
DC16,P79 OFF TUNASND PJ,SUBTOTAL AMOUNT,79.000,1,GOA
DC17,P79 OFF CCB PJ,SUBTOTAL AMOUNT,79.000,1,GOA
DC18,P59 OFF FRIES PJ,SUBTOTAL AMOUNT,59.000,1,GOA
DC26,8% CORP PARTNER DISC,SUBTOTAL PERCENT,8.000,1,GOA
DC27,1000MAX CORPPART DIS,SUBTOTAL AMOUNT,1000.000,1,GOA
DC28,5% BULK ORDER DISC,SUBTOTAL PERCENT,5.000,1,GOA
