CODE,DESC,TYPE,VALUE,POS,BRANCH
48,8% PICHE BICOL,SUBTOTAL PERCENT,8.000,1,MAGS
49,8% HABAGAT CS EAGLES,SUBTOTAL PERCENT,8.000,1,MAGS
50,8% MAHARLIKA EAGLES,SUBTOTAL PERCENT,8.000,1,MAGS
51,MHRLK EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,MAGS
52,PICHE BICOL 1000MAX,SUBTOTAL AMOUNT,1000.000,1,MAGS
53,ROTARY NAGA 1OOOMAX,SUBTOTAL AMOUNT,1000.000,1,MAGS
54,HBGT EAGLES 1000MAX,SUBTOTAL AMOUNT,1000.000,1,MAGS
55,8% PICE CAMSUR,SUBTOTAL PERCENT,8.000,1,MAGS
56,8% UNITED ARCHI DISC,SUBTOTAL PERCENT,8.000,1,MAGS
57,PICE CS 1000 MAX DIS,SUBTOTAL AMOUNT,1000.000,1,MAGS
58,UN ARCHI 1000 MAX DI,SUBTOTAL AMOUNT,1000.000,1,MAGS
59,8% ROTARY OF IRIGA,SUBTOTAL PERCENT,8.000,1,MAGS
60,OFW PC 1000MAX,SUBTOTAL AMOUNT,1000.000,1,MAGS
61,ROTARY OF IRIGA 1000,SUBTOTAL AMOUNT,1000.000,1,MAGS
62,8% REBAP DISCOUNT,SUBTOTAL PERCENT,8.000,1,MAGS
63,1000MAX REBAP DISC,SUBTOTAL AMOUNT,1000.000,1,MAGS
64,8% ENVP CamSur,SUBTOTAL PERCENT,8.000,1,MAGS
65,8% CSNHS Alumni,SUBTOTAL PERCENT,8.000,1,MAGS
66,1000MAX ENVP CamSur,SUBTOTAL AMOUNT,1000.000,1,MAGS
67,1000MAX CSNHS Alumni,SUBTOTAL AMOUNT,1000.000,1,MAGS
68,8% NAGA PICE,SUBTOTAL PERCENT,8.000,1,MAGS
69,8% IIEE CAMSUR,SUBTOTAL PERCENT,8.000,1,MAGS
70,NAGA PICE 1000 MAX D,SUBTOTAL AMOUNT,1000.000,1,MAGS
71,IIEE 1000 MAX DISC,SUBTOTAL AMOUNT,1000.000,1,MAGS
72,5% SOLO PARENT,SUBTOTAL PERCENT,5.000,1,MAGS
73,20% NATL ATHLETE,SUBTOTAL PERCENT,20.000,1,MAGS
74,PRIDE P20OFF,ITEM AMOUNT,20.000,1,MAGS
75,8% IMAP R5,SUBTOTAL PERCENT,8.000,1,MAGS
76,8% STJOSEPH,SUBTOTAL PERCENT,8.000,1,MAGS
77,8% NATL PH EAGLES,SUBTOTAL PERCENT,8.000,1,MAGS
78,1000MAX IMAP,SUBTOTAL AMOUNT,1000.000,1,MAGS
79,1000MAX STJOSEPH,SUBTOTAL AMOUNT,8.000,1,MAGS
80,1000MAX NATLEAGLES,SUBTOTAL AMOUNT,1000.000,1,MAGS
81,8% PAMET CAMSUR,SUBTOTAL PERCENT,8.000,1,MAGS
82,1000MAX PAMET CS,SUBTOTAL AMOUNT,1000.000,1,MAGS
83,8% ADNUGAA,SUBTOTAL PERCENT,8.000,1,MAGS
84,1000MAX ADNUGAA,SUBTOTAL AMOUNT,1000.000,1,MAGS
85,8% RAYA CRS,SUBTOTAL PERCENT,8.000,1,MAGS
86,8% 3RDY CRS,SUBTOTAL PERCENT,8.000,1,MAGS
87,8% PILI TTSC,SUBTOTAL PERCENT,8.000,1,MAGS
88,8% JDP RENTAL,SUBTOTAL PERCENT,8.000,1,MAGS
89,8% SHUKRAN TRANS,SUBTOTAL PERCENT,8.000,1,MAGS
90,10%,SUBTOTAL PERCENT,10.000,1,MAGS
91,8% NATL REBAP,SUBTOTAL PERCENT,8.000,1,MAGS
92,1000MAX NATREBAP,SUBTOTAL AMOUNT,1000.000,1,MAGS
93,20% OFF TEXTBLAST,SUBTOTAL PERCENT,20.000,1,MAGS
94,50% DISCOUNT,SUBTOTAL PERCENT,50.000,1,MAGS
95,8% DEPED NEU RS,SUBTOTAL PERCENT,8.000,1,MAGS
96,1000MAX DEPED NEU RS,SUBTOTAL AMOUNT,1000.000,1,MAGS
97,8% NAPSAA,SUBTOTAL PERCENT,8.000,1,MAGS
98,1000MAX NAPSAA,SUBTOTAL AMOUNT,1000.000,1,MAGS
6,8% BICOL ENT,SUBTOTAL PERCENT,8.000,1,MAGS
7,8% CNSC,SUBTOTAL PERCENT,8.000,1,MAGS
8,8% DEPED BICOL,SUBTOTAL PERCENT,8.000,1,MAGS
10,8% PCG BICOL,SUBTOTAL PERCENT,8.000,1,MAGS
11,1000MAX PCG BICOL,SUBTOTAL AMOUNT,1000.000,1,MAGS
13,1000MAX DEPED BICOL,SUBTOTAL AMOUNT,1000.000,1,MAGS
15,1000MAX CNSC,SUBTOTAL AMOUNT,1000.000,1,MAGS
16,1000MAX BICOL ENT,SUBTOTAL AMOUNT,1000.000,1,MAGS
17,8% NYD 2025 ENT,SUBTOTAL PERCENT,8.000,1,MAGS
18,1000MAX NYD2025,SUBTOTAL AMOUNT,1000.000,1,MAGS
20,FREE PJ LSM,ITEM PERCENT,100.000,1,MAGS
DC13,100% OFF BDAY DISC,SUBTOTAL PERCENT,100.000,1,MAGS
DC14,VDAY DISCOUNT,SUBTOTAL PERCENT,100.000,1,MAGS
DC15,P84 OFF SPAG PJ,SUBTOTAL AMOUNT,84.000,1,MAGS
DC16,P79 OFF TUNASND PJ,SUBTOTAL AMOUNT,79.000,1,MAGS
DC17,P79 OFF CCB PJ,SUBTOTAL AMOUNT,79.000,1,MAGS
DC18,P59 OFF FRIES PJ,SUBTOTAL AMOUNT,59.000,1,MAGS
DC25,INFLUENCER DISC,SUBTOTAL PERCENT,100.000,1,MAGS
DC26,8% CORP PARTNER DISC,SUBTOTAL PERCENT,8.000,1,MAGS
DC27,1000MAX CORPPART DIS,SUBTOTAL AMOUNT,1000.000,1,MAGS
DC28,5% BULK ORDER DISC,SUBTOTAL PERCENT,5.000,1,MAGS
